#timebase=20000000000(ps)
,#voltbase=500000(mv/100)
#size=40064
1.50E-02,2.980
1.50E-02,3.020
1.50E-02,3.020
1.51E-02,3.020
1.51E-02,3.000
1.51E-02,3.020
1.52E-02,3.020
1.52E-02,3.020
1.52E-02,3.020
1.52E-02,3.020
1.52E-02,3.020
1.53E-02,3.040
1.53E-02,3.020
1.53E-02,3.020
1.54E-02,3.020
1.54E-02,3.040
1.54E-02,3.000
1.54E-02,3.000
1.55E-02,3.020
1.55E-02,3.040
1.55E-02,3.000
1.55E-02,3.020
1.55E-02,3.020
1.56E-02,2.980
1.56E-02,3.020
1.56E-02,3.020
1.57E-02,3.000
1.57E-02,3.040
1.57E-02,3.020
1.57E-02,3.020
1.58E-02,3.040
1.58E-02,3.040
1.58E-02,3.000
1.58E-02,3.000
1.58E-02,3.020
1.59E-02,3.020
1.59E-02,3.000
1.59E-02,3.020
1.59E-02,3.000
1.60E-02,3.020
1.60E-02,3.020
1.60E-02,3.020
1.60E-02,3.020
1.61E-02,3.000
1.61E-02,3.000
1.61E-02,3.020
1.62E-02,3.020
1.62E-02,3.040
1.62E-02,3.000
1.62E-02,3.000
1.63E-02,3.020
1.63E-02,3.040
1.63E-02,3.000
1.63E-02,3.020
1.63E-02,3.020
1.64E-02,3.020
1.64E-02,3.000
1.64E-02,3.000
1.64E-02,3.020
1.65E-02,3.020
1.65E-02,3.020
1.65E-02,3.020
1.65E-02,3.020
1.66E-02,3.040
1.66E-02,3.000
1.66E-02,3.000
1.67E-02,3.020
1.67E-02,3.040
1.67E-02,3.020
1.67E-02,3.020
1.68E-02,3.000
1.68E-02,3.020
1.68E-02,3.020
1.68E-02,3.020
1.69E-02,3.020
1.69E-02,3.020
1.69E-02,3.020
1.69E-02,3.040
1.69E-02,3.020
1.70E-02,3.020
1.70E-02,3.020
1.70E-02,3.000
1.70E-02,3.020
1.71E-02,2.980
1.71E-02,3.020
1.71E-02,3.020
1.71E-02,3.000
1.72E-02,3.020
1.72E-02,3.040
1.72E-02,3.040
1.73E-02,3.000
1.73E-02,3.000
1.73E-02,3.020
1.73E-02,3.020
1.74E-02,3.020
1.74E-02,3.020
1.74E-02,3.000
1.74E-02,3.020
1.75E-02,3.020
1.75E-02,3.020
1.75E-02,3.020
1.75E-02,3.020
1.75E-02,3.020
1.76E-02,3.020
1.76E-02,3.020
1.76E-02,3.020
1.76E-02,3.020
1.77E-02,3.000
1.77E-02,3.000
1.77E-02,3.040
1.77E-02,3.000
1.78E-02,3.020
1.78E-02,3.020
1.78E-02,3.020
1.79E-02,3.040
1.79E-02,3.020
1.79E-02,3.000
1.79E-02,3.020
1.80E-02,3.040
1.80E-02,3.020
1.80E-02,3.020
1.80E-02,3.020
1.81E-02,3.020
1.81E-02,3.000
1.81E-02,3.020
1.81E-02,3.000
1.81E-02,3.000
1.82E-02,3.040
1.82E-02,3.040
1.82E-02,3.020
1.82E-02,3.040
1.83E-02,3.000
1.83E-02,3.020
1.83E-02,3.020
1.84E-02,3.020
1.84E-02,3.020
1.84E-02,3.020
1.84E-02,3.020
1.85E-02,3.020
1.85E-02,3.020
1.85E-02,3.020
1.85E-02,3.000
1.86E-02,3.020
1.86E-02,3.040
1.86E-02,3.000
1.86E-02,3.000
1.86E-02,3.040
1.87E-02,3.040
1.87E-02,3.000
1.87E-02,3.000
1.87E-02,3.020
1.88E-02,3.020
1.88E-02,3.000
1.88E-02,3.040
1.88E-02,3.020
1.89E-02,3.020
1.89E-02,3.020
1.89E-02,3.040
1.90E-02,3.020
1.90E-02,3.020
1.90E-02,3.040
1.90E-02,3.000
1.91E-02,3.020
1.91E-02,3.020
1.91E-02,3.020
1.91E-02,3.020
1.92E-02,3.020
1.92E-02,3.000
1.92E-02,3.020
1.92E-02,3.040
1.92E-02,3.040
1.93E-02,3.000
1.93E-02,3.000
1.93E-02,3.020
1.93E-02,3.060
1.94E-02,3.040
1.94E-02,3.040
1.94E-02,3.000
1.94E-02,3.020
1.95E-02,3.000
1.95E-02,3.020
1.95E-02,3.020
1.96E-02,3.020
1.96E-02,3.020
1.96E-02,3.020
1.96E-02,3.020
1.97E-02,3.000
1.97E-02,3.020
1.97E-02,2.980
1.97E-02,3.020
1.98E-02,3.000
1.98E-02,3.000
1.98E-02,3.020
1.98E-02,3.000
1.98E-02,3.040
1.99E-02,3.020
1.99E-02,3.020
1.99E-02,3.040
1.99E-02,3.020
2.00E-02,3.020
2.00E-02,3.020
2.00E-02,3.000
2.00E-02,3.040
2.01E-02,3.020
2.01E-02,3.000
