#flipflop between high and low with a delay of 100ms between changes
#timebase=40000000000(ps)
,#voltbase=1000000(mv/100)
#size=4064
2.23E-01,0.080
2.24E-01,0.080
2.24E-01,0.120
2.24E-01,0.080
2.24E-01,0.120
2.24E-01,0.120
2.25E-01,0.120
2.25E-01,0.120
2.25E-01,0.080
2.25E-01,0.160
2.25E-01,0.160
2.26E-01,0.080
2.26E-01,0.080
2.26E-01,0.160
2.26E-01,0.080
2.26E-01,0.120
2.27E-01,0.120
2.27E-01,0.160
2.27E-01,0.120
2.27E-01,0.120
2.27E-01,0.080
2.28E-01,0.120
2.28E-01,0.080
2.28E-01,0.080
2.28E-01,0.120
2.28E-01,0.120
2.29E-01,0.080
2.29E-01,0.080
2.29E-01,0.120
2.29E-01,0.120
2.29E-01,0.120
2.30E-01,0.080
2.30E-01,0.160
2.30E-01,0.080
2.30E-01,0.120
2.30E-01,0.120
2.31E-01,0.160
2.31E-01,0.120
2.31E-01,0.080
2.31E-01,0.120
2.31E-01,0.080
2.32E-01,0.120
2.32E-01,0.080
2.32E-01,0.160
2.32E-01,0.080
2.32E-01,0.080
2.33E-01,0.160
2.33E-01,0.080
2.33E-01,0.080
2.33E-01,0.120
2.33E-01,0.160
2.34E-01,0.080
2.34E-01,0.120
2.34E-01,0.080
2.34E-01,0.120
2.34E-01,0.120
2.35E-01,0.080
2.35E-01,0.120
2.35E-01,0.080
2.35E-01,0.120
2.35E-01,0.080
2.36E-01,0.080
2.36E-01,0.080
2.36E-01,0.160
2.36E-01,0.080
2.36E-01,0.120
2.37E-01,0.120
2.37E-01,0.120
2.37E-01,0.160
2.37E-01,0.080
2.37E-01,0.080
2.38E-01,0.160
2.38E-01,0.120
2.38E-01,0.120
2.38E-01,0.080
2.38E-01,0.120
2.39E-01,0.160
2.39E-01,0.080
2.39E-01,0.080
2.39E-01,0.120
2.39E-01,0.080
2.40E-01,0.160
2.40E-01,0.120
2.40E-01,0.080
2.40E-01,0.120
2.40E-01,0.080
2.41E-01,0.160
2.41E-01,0.080
2.41E-01,0.080
2.41E-01,0.080
2.41E-01,0.120
2.42E-01,0.080
2.42E-01,0.160
2.42E-01,0.160
2.42E-01,0.120
2.42E-01,0.120
2.43E-01,0.120
2.43E-01,0.160
2.43E-01,0.120
2.43E-01,0.160
2.43E-01,0.120
2.44E-01,0.080
2.44E-01,0.120
2.44E-01,0.160
2.44E-01,0.120
2.44E-01,0.160
2.45E-01,0.080
2.45E-01,0.080
2.45E-01,0.160
2.45E-01,0.080
2.45E-01,0.120
2.46E-01,0.120
2.46E-01,0.160
2.46E-01,0.080
2.46E-01,0.080
2.46E-01,0.120
2.47E-01,0.120
2.47E-01,0.120
2.47E-01,0.080
2.47E-01,0.120
2.47E-01,0.080
2.48E-01,0.120
2.48E-01,0.080
2.48E-01,0.160
2.48E-01,0.120
2.48E-01,0.120
2.49E-01,0.080
2.49E-01,0.120
2.49E-01,0.120
2.49E-01,0.080
2.49E-01,0.160
2.50E-01,0.120
2.50E-01,0.080
2.50E-01,0.120
